T,instance,density,algorithm,run,seed,elapsed,HV,IGD,GD,Spacing,F1,F2,F3,F4
50,1,1.0,MO-PSOGA-DAG,8,1497586439,699.7951164245605,538.0149664636515,3.7210213450450067,9.754786681828215,1.5417517165079375,2.1799167542697107,261.83600459279705,1.0,0.571692214656896
50,1,1.0,MO-PSOGA-DAG,5,929893138,704.4261100292206,480.6349519650448,3.4115857452176233,20.879299644607368,3.6102655977613165,2.8287241109284933,24.795742225344345,0.86,0.4844113465832714
50,1,1.0,MO-PSOGA-DAG,4,942484272,709.269585609436,686.3555462492272,3.547433171662897,17.44000478966719,3.872503181098457,2.415593039205361,224.6936850878433,0.92,0.4984938768007333
50,1,1.0,MO-PSOGA-DAG,6,1843824993,711.0973613262177,552.5254623676796,3.208591416059699,10.148527646222325,0.9366256621819592,2.2952958720464616,166.74354754920495,0.86,0.5464377104856739
50,1,1.0,MO-PSOGA-DAG,2,1662057958,714.4345593452454,687.2309871972477,3.8259726997118055,23.645196310208153,0.09592039424616224,2.479565669869362,122.79827473716486,0.84,0.4055049937963552
50,1,1.0,MO-PSOGA-DAG,10,202244314,719.282466173172,820.4653934619205,3.503601559116943,22.012161378547,2.3411221986015884,2.359259672816498,138.30999387978906,0.92,0.38528059227302863
50,1,1.0,MO-PSOGA-DAG,1,191664964,721.186017036438,673.4617296535587,3.331897817039429,14.151661369000497,4.109701694378067,2.1371965515990192,299.4485910894914,0.9,0.5250503673800874
50,1,1.0,MO-PSOGA-DAG,7,184566854,725.7008213996887,659.8973516844195,3.8884790852008293,20.950756078213463,7.834611489122706,2.099699064809366,87.3224376994678,0.88,0.4846917711699349
50,1,1.0,MO-PSOGA-DAG,9,432652533,725.9823610782623,366.6772297747423,3.1264516240196687,7.231442642469445,4.880880229483967,2.36444361688503,63.2407062737307,0.76,0.6164172101987269
50,1,1.0,MO-PSOGA-DAG,3,1405681632,735.1925315856934,813.8953607958788,3.5024321682758863,44.63233500777942,3.290264357630266,2.3456242254201545,122.62625754395431,0.88,0.3634842353451989
50,1,1.0,MO-PSOGA-DAG,15,1540770720,669.4114766120911,871.9136946877624,3.602743980859663,33.50359911822356,1.8438380492951079,2.0760035623267985,309.68736286277067,0.96,0.4919932168539677
50,1,1.0,MO-PSOGA-DAG,11,1130604998,684.1783356666565,647.1808052064852,3.3822614873269408,49.28755029957401,3.4212251204533177,2.564677685611214,153.22749689376445,0.88,0.6023881168504679
50,1,1.0,MO-PSOGA-DAG,16,1688060241,678.375853061676,640.3629380212972,3.6131823894050874,27.011045249479107,6.888924972783281,1.9544582997245254,269.79439970509367,0.92,0.5739732422993681
50,1,1.0,MO-PSOGA-DAG,14,1634535063,694.6024742126465,784.5376237154362,3.4881953591375914,37.344054896637346,2.5269311594469515,2.8105523902140788,26.469666473659508,0.86,0.3389030913555926
50,1,1.0,MO-PSOGA-DAG,13,1580016184,697.8218002319336,854.3999150981895,3.485265849755987,20.09203189193894,5.573710640036717,2.2803126294453673,302.97622410329785,0.98,0.5321571595750538
50,1,1.0,MO-PSOGA-DAG,19,1803345591,686.534952878952,741.8299451865772,4.033455154299299,21.62427304607631,3.571537914759334,2.2087518010190963,157.97901203363017,0.84,0.38352519591566836
50,1,1.0,MO-PSOGA-DAG,12,2095133046,710.3116014003754,982.0952878063877,4.197382383591899,42.30060397933146,3.3238466015187336,2.1802067991215344,283.9288369688927,0.88,0.5391420404553156
50,1,1.0,MO-PSOGA-DAG,17,1102145673,693.9769730567932,804.4425893203863,3.630097108935526,28.909823435639336,8.2948805666468,2.3747803923085216,218.082508169488,0.86,0.47982270790914083
50,1,1.0,MO-PSOGA-DAG,18,275121931,695.2102572917938,476.64506036938485,3.0126707409683835,6.4424259495131935,3.9422984619307084,2.492826456965782,27.55577609683066,0.76,0.5799035624293152
50,1,1.0,MO-PSOGA-DAG,20,967196436,705.3196246623993,814.4944930904896,4.386467870386646,15.595768653807479,1.94653715354947,1.9723783030079105,299.3364069444566,0.84,0.49434123246091943
50,1,1.0,MO-PSOGA-DAG,24,1990212659,661.5570073127747,379.20028071150494,4.090332220589431,20.07542628334824,3.1359521671461827,1.8440340425652308,279.0975402920795,0.96,0.5544927594863903
50,1,1.0,MO-PSOGA-DAG,21,1074497556,698.9094369411469,555.3492179172457,3.578120575034694,22.610204705667126,2.393530179647311,2.161985211252895,337.3346801647993,0.9,0.5932894005523913
50,1,1.0,MO-PSOGA-DAG,23,392022359,686.1109199523926,581.6354369812533,2.9395192180701906,27.013346189754046,6.7465789026526695,2.935576421996184,95.82888515211422,0.86,0.5912125249784225
50,1,1.0,MO-PSOGA-DAG,22,796282693,706.4266769886017,598.7323640457189,3.2483001066502726,15.047333745360715,2.643997157035286,2.4850677800844867,111.93818157006423,0.86,0.4153995350127736
50,1,1.0,MO-PSOGA-DAG,25,1678403331,686.614504814148,754.4240679425509,3.4174995424097725,16.580025425736633,9.706468315598118,2.3705032277032645,119.33184470019958,0.82,0.651227299914083
50,1,1.0,MO-PSOGA-DAG,29,1171300113,678.0585005283356,940.954051293362,3.734731034367329,21.173531387895586,12.920623439396268,1.9726875538746202,253.408429477745,0.82,0.3664349603899931
